example,group,subject,speed_bin,n_train,test_frames,n_delays,rank_requested,rank_fit,stabilize,smooth_window,nrmse,rmse,amplitude_ratio,tail_amplitude_ratio,horizon,stride_frequency,spectral_radius
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,true,15,1.0043306723033456,0.24502629603254963,0.703742862026266,0.7123562632963364,78,3.859649122807017,0.9992832093512893
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,true,21,1.3458064874438735,0.29240913093502835,0.8365767409853633,0.9075135480447204,78,3.859649122807017,0.9999999999999998
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,false,0,0.9734611215099261,0.26285207616078554,0.33761912406400807,0.32669287404925446,78,3.859649122807017,0.9925115672706715
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,false,7,0.9014699704207935,0.2391457172077165,0.41623961367254125,0.4561457316286945,78,3.859649122807017,0.9938864857413869
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,false,11,0.8462989205920801,0.2169770434890004,0.4906896773502208,0.5359492448593987,78,3.859649122807017,0.9962145744555044
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,false,15,1.0043306723033434,0.24502629603254905,0.7037428620262586,0.7123562632963232,78,3.859649122807017,0.999283209351288
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,false,21,1.3874587120920472,0.30145908791213866,0.8924577261993498,1.0085478427485215,78,3.859649122807017,1.0016387450728141
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,true,0,1.1107212447749841,0.29991478732314186,0.4488234546371072,0.3401665044433853,78,3.859649122807017,0.989454746330956
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,true,7,1.073883873411112,0.2848843971861021,0.46530786825238435,0.37440399418981263,78,3.859649122807017,0.9905217787483784
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,true,11,1.1148629506726921,0.28583241812851223,0.5294553727426348,0.4270328788596058,78,3.859649122807017,0.9894980024691646
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,true,15,1.1076631536983375,0.27023629496447493,0.5786280033918869,0.36284012347315,78,3.859649122807017,0.9908870356558322
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,true,21,0.9508977462714565,0.20660561989370685,0.6535579803622202,0.5413915204917286,78,3.859649122807017,0.9946131684404101
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,false,0,1.1107212447749613,0.2999147873231357,0.4488234546370781,0.3401665044433342,78,3.859649122807017,0.9894547463309551
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,false,7,1.0738838734111138,0.28488439718610253,0.4653078682523894,0.3744039941898099,78,3.859649122807017,0.9905217787483775
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,false,11,1.1148629506726946,0.2858324181285129,0.5294553727426449,0.4270328788596207,78,3.859649122807017,0.9894980024691624
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,false,15,1.1076631536983481,0.27023629496447754,0.5786280033918987,0.3628401234731632,78,3.859649122807017,0.9908870356558327
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,20,20,false,21,0.9508977462714489,0.20660561989370518,0.653557980362199,0.5413915204916799,78,3.859649122807017,0.9946131684404121
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,40,40,true,0,0.9351575625992578,0.2525094237820244,0.2282422775916644,0.04171890499799368,78,3.859649122807017,0.9768382308822939
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,40,40,true,7,0.9525907266135318,0.25270724482932616,0.2586649073970114,0.06358445290414101,78,3.859649122807017,0.9794103731550932
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,40,40,true,11,0.8954770335280823,0.2295854981255214,0.2927025482162396,0.17103749280010974,78,3.859649122807017,0.9783301491339357
